#,Thermostat,identifier,511893837731,,,,,,,,,,,,,,,,,,
#,Thermostat,name,Thermostat,,,,,,,,,,,,,,,,,,
#,Start,date,2018-11-12,,,,,,,,,,,,,,,,,,
#,End,date,2018-12-12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Upstairs (F),Upstairs2,
2018-11-12,03:40:00,heat,heatStage1On,,Sleep,72,68,67.7,44,31.1,0,0,45,90,,67.6,44,0,67.7,0,
2018-11-12,03:45:00,heat,heatOff,,Sleep,72,68,69.3,45,31.1,0,0,0,0,,67.4,45,0,69.3,1,
2018-11-12,03:50:00,heat,heatOff,,Sleep,72,68,69,46,31.1,0,0,0,0,,67.6,46,0,69,1,
2018-11-12,03:55:00,heat,heatOff,,Sleep,72,68,68.4,45,31.1,0,0,0,0,,67.9,45,0,68.4,1,
2018-11-12,04:00:00,heat,heatOff,,Sleep,72,68,68,44,31.2,0,0,0,0,,68,44,0,68,0,
2018-11-12,04:05:00,heat,heatOff,,Sleep,72,68,67.9,44,31.2,0,0,0,0,,68.2,44,0,67.9,1,
2018-11-12,04:10:00,heat,heatOff,,Sleep,72,68,67.6,44,31.2,0,0,0,0,,68.2,44,0,67.6,1,
2018-11-12,04:15:00,heat,heatOff,,Sleep,72,68,67.5,43,31.2,0,0,60,60,,68.2,43,0,67.5,0,
2018-11-12,04:20:00,heat,heatStage1On,,Sleep,72,68,67.4,43,31.2,0,0,255,300,,68,43,0,67.4,0,
2018-11-12,04:25:00,heat,heatOff,,Sleep,72,68,67.9,44,31.2,0,0,0,0,,67.3,44,0,67.9,0,
2018-11-12,04:30:00,heat,heatOff,,Sleep,72,68,69.1,44,30.7,0,0,0,0,,67.2,44,0,69.1,0,
2018-11-12,04:35:00,heat,heatOff,,Sleep,72,68,68.7,44,30.7,0,0,0,0,,67.4,44,0,68.7,1,
2018-11-12,04:40:00,heat,heatOff,,Sleep,72,68,68.2,44,30.7,0,0,0,0,,67.6,44,0,68.2,1,
2018-11-12,04:45:00,heat,heatOff,,Sleep,72,68,68,44,30.7,0,0,0,0,,67.8,44,0,68,1,
2018-11-12,04:50:00,heat,heatOff,,Sleep,72,68,67.6,44,30.7,0,0,0,0,,67.9,44,0,67.6,1,
2018-11-12,04:55:00,heat,heatOff,,Sleep,72,68,67.4,44,30.7,0,0,240,240,,67.9,44,0,67.4,1,
2018-11-12,05:00:00,heat,heatStage1On,,Sleep,72,68,67.7,44,30.3,0,0,75,120,,67.5,44,0,67.7,0,
2018-11-12,05:05:00,heat,heatOff,,Sleep,72,68,69.1,44,30.3,0,0,0,0,,67.2,44,0,69.1,1,
2018-11-12,05:10:00,heat,heatOff,,Sleep,72,68,69,44,30.3,0,0,0,0,,67.3,44,0,69,1,
2018-11-12,05:15:00,heat,heatOff,,Sleep,72,68,68.4,44,30.3,0,0,0,0,,67.5,44,0,68.4,0,
2018-11-12,05:20:00,heat,heatOff,,Sleep,72,68,68,44,30.3,0,0,0,0,,67.7,44,0,68,0,
2018-11-12,05:25:00,heat,heatOff,,Sleep,72,68,67.8,43,30.3,0,0,0,0,,67.8,43,0,67.8,1,
2018-11-12,05:30:00,heat,heatOff,,Sleep,72,68,67.6,43,29.8,0,0,0,0,,67.8,43,0,67.6,1,
2018-11-12,05:35:00,heat,heatOff,,Sleep,72,68,67.4,43,29.8,0,0,285,285,,67.8,43,0,67.4,0,
2018-11-12,05:40:00,heat,heatStage1On,,Sleep,72,68,67.7,43,29.8,0,0,30,75,,67.2,43,0,67.7,0,
2018-11-12,05:45:00,heat,heatOff,,Sleep,72,68,69.2,44,29.8,0,0,0,0,,66.9,44,0,69.2,0,
2018-11-12,05:50:00,heat,heatOff,,Sleep,72,68,68.9,44,29.8,0,0,0,0,,67.1,44,0,68.9,0,
2018-11-12,05:55:00,heat,heatOff,,Sleep,72,68,68.2,44,29.8,0,0,0,0,,67.3,44,0,68.2,0,
2018-11-12,06:00:00,heat,heatOff,,Sleep,72,68,67.8,44,29.4,0,0,0,0,,67.5,44,0,67.9,0,
2018-11-12,06:05:00,heat,heatOff,,Sleep,72,68,67.7,43,29.4,0,0,0,0,,67.7,43,0,67.7,1,
2018-11-12,06:10:00,heat,heatOff,,Sleep,72,68,67.5,43,29.4,0,0,30,30,,67.9,43,0,67.5,1,
2018-11-12,06:15:00,heat,heatStage1On,,Sleep,72,68,67.2,42,29.4,0,0,285,300,,67.7,42,0,67.2,1,
2018-11-12,06:20:00,heat,heatOff,,Sleep,72,68,67.8,43,29.4,0,0,0,30,,67,43,0,67.8,0,
2018-11-12,06:25:00,heat,heatOff,,Sleep,72,68,68.9,44,29.4,0,0,0,0,,66.9,44,0,68.9,0,
2018-11-12,06:30:00,heat,heatOff,,Sleep,72,68,68.6,44,29.3,0,0,0,0,,67.1,44,0,68.6,0,
2018-11-12,06:35:00,heat,heatOff,,Sleep,72,68,68.2,43,29.3,0,0,0,0,,67.3,43,0,68.2,0,
2018-11-12,06:40:00,heat,heatOff,,Sleep,72,68,67.8,43,29.3,0,0,0,0,,67.4,43,0,67.8,0,
2018-11-12,06:45:00,heat,heatOff,,Sleep,72,68,67.5,43,29.3,0,0,105,105,,67.5,43,0,67.5,0,
2018-11-12,06:50:00,heat,heatStage1On,,Sleep,72,68,67.4,43,29.3,0,0,210,255,,67.3,43,1,67.4,0,
2018-11-12,06:55:00,heat,heatOff,,Sleep,72,68,67.7,44,29.3,0,0,135,135,,66.7,44,0,68.2,1,
2018-11-12,07:00:00,heat,heatStage1On,,Sleep,72,68,68.3,44,28.5,0,0,165,210,,66.6,44,0,69.3,1,
2018-11-12,07:05:00,heat,heatOff,,Sleep,72,68,68.6,45,28.5,0,0,0,0,,66.5,45,0,69.9,1,
